la;x0;x1;x2;x3;x4;x5;x6
0575;2.308543;52.288107;76.087322;21.639390;7.275335;0.167108;-0.107294
0525;3.875714;111.986997;270.329184;-8.544443;-97.381558;-18.281005;-0.067831
0575;2.308543;52.288107;76.087322;21.639390;7.275335;0.167108;-0.107294
0575;2.308543;52.288107;76.087322;21.639390;7.275335;0.167108;-0.107294
