1&subleading&4&25004.71&4.6698&0.9373\\
1&subleading&5&19358.95&4.6747&0.9563\\
1&subleading&6&17826.66&4.6622&0.9707\\
1&subleading&7&15242.57&4.6587&0.9786\\
1&leading&4&116.98&3.9847&0.5392\\
1&leading&5&150.55&4.0966&0.6603\\
1&leading&6&237.47&4.0095&0.0095\\
1&leading&7&168.51&3.5833&0.5549\\
