1&s&4&0.931&-0.361&0.053&0.025\\
1&s&5&0.905&-0.382&0.130&0.112&0.073\\
1&s&6&0.885&-0.401&0.128&0.163&0.101&0.044\\
1&s&7&0.874&-0.411&0.108&0.119&0.186&0.063&0.056\\
1&l&4&0.000&0.870&0.492&-0.029\\
1&l&5&0.000&0.856&0.476&-0.202&-0.004\\
1&l&6&0.077&0.669&0.224&-0.277&-0.552&-0.339\\
1&l&7&0.000&-0.178&-0.780&-0.554&-0.209&-0.060&-0.070\\
